URL,Vulnerability,Status/Details
http://google.com,Insecure HTTP Headers,"Missing headers: ['content-security-policy', 'strict-transport-security', 'x-content-type-options']"
http://google.com,Clickjacking,OK
http://google.com,Robots.txt Check,"Found; disallow: ['/search', '/sdch', '/groups', '/index.html?', '/?', '/?hl=*&', '/?hl=*&*&gws_rd=ssl', '/imgres', '/u/', '/setprefs', '/m?', '/m/', '/wml?', '/wml/?', '/wml/search?', '/xhtml?', '/xhtml/?', '/xhtml/search?', '/xml?', '/imode?', '/imode/?', '/imode/search?', '/jsky?', '/jsky/?', '/jsky/search?', '/pda?', '/pda/?', '/pda/search?', '/sprint_xhtml', '/sprint_wml', '/pqa', '/gwt/', '/purchases', '/local?', '/local_url', '/shihui?', '/shihui/', '/products?', '/product_', '/products_', '/products;', '/print', '/books/', '/bkshp?*q=', '/books?*q=', '/books?*output=', '/books?*pg=', '/books?*jtp=', '/books?*jscmd=', '/books?*buy=', '/books?*zoom=', '/patents?', '/patents/download/', '/patents/pdf/', '/patents/related/', '/scholar', '/citations?', '/citations?*cstart=', '/s?', '/maps?', '/mapstt?', '/mapslt?', '/mapabcpoi?', '/maphp?', '/mapprint?', '/maps/', '/maps/api/js/', '/mld?', '/staticmap?', '/help/maps/streetview/partners/welcome/', '/help/maps/indoormaps/partners/', '/lochp?', '/ie?', '/uds/', '/transit?', '/trends?', '/trends/music?', '/trends/hottrends?', '/trends/viz?', '/trends/embed.js?', '/trends/fetchComponent?', '/trends/beta', '/trends/topics', '/trends/explore?', '/trends/embed', '/trends/api', '/musica', '/musicad', '/musicas', '/musicl', '/musics', '/musicsearch', '/musicsp', '/musiclp', '/urchin_test/', '/movies?', '/wapsearch?', '/reviews/search?', '/orkut/albums', '/cbk', '/recharge/dashboard/car', '/recharge/dashboard/static/', '/profiles/me', '/s2/profiles/me', '/s2', '/transconsole/portal/', '/gcc/', '/aclk', '/tbproxy/', '/imesync/', '/shenghuo/search?', '/support/forum/search?', '/reviews/polls/', '/hosted/images/', '/ppob/?', '/ppob?', '/accounts/ClientLogin', '/accounts/ClientAuth', '/accounts/o8', '/topicsearch?q=', '/xfx7/', '/squared/api', '/squared/search', '/squared/table', '/qnasearch?', '/sidewiki/entry/', '/quality_form?', '/labs/popgadget/search', '/compressiontest/', '/analytics/feeds/', '/analytics/partners/comments/', '/analytics/portal/', '/analytics/uploads/', '/alerts/', '/phone/compare/?', '/travel/clk', '/travel/entity', '/travel/search', '/travel/flights/booking', '/travel/flights/s/', '/travel/flights/search', '/travel/hotels/entity', '/travel/hotels/*/entity', '/travel/hotels/stories', '/travel/hotels/*/stories', '/travel/story', '/hotelfinder/rpc', '/hotels/rpc', '/evaluation/', '/forms/perks/', '/shopping/suppliers/search', '/edu/cs4hs/', '/trustedstores/s/', '/trustedstores/tm2', '/trustedstores/verify', '/shopping?', '/shopping/product/', '/shopping/seller', '/shopping/ratings/account/metrics', '/shopping/ratings/merchant/immersivedetails', '/shopping/reviewer', '/shopping/search', '/shopping/deals', '/storefront', '/storepicker', '/about/careers/applications/candidate-prep', '/about/careers/applications/connect-with-a-googler', '/about/careers/applications/jobs/results?page=', '/about/careers/applications/jobs/results/?page=', '/about/careers/applications/jobs/results?*&page=', '/about/careers/applications/jobs/results/?*&page=', '/landing/signout.html', '/gallery/', '/landing/now/ontap/', '/maps/reserve/api/', '/maps/reserve/search', '/maps/reserve/bookings', '/maps/reserve/settings', '/maps/reserve/manage', '/maps/reserve/payment', '/maps/reserve/receipt', '/maps/reserve/sellersignup', '/maps/reserve/payments', '/maps/reserve/feedback', '/maps/reserve/terms', '/maps/reserve/m/', '/maps/reserve/b/', '/maps/reserve/partner-dashboard', '/local/cars', '/local/cars/', '/local/dealership/', '/local/dining/', '/local/place/products/', '/local/place/reviews/', '/local/place/rap/', '/local/tab/', '/localservices/', '/nonprofits/account/', '/uviewer', '/landing/cmsnext-root/', '/maps/api/js/', '/maps/api/place/js/', '/maps/api/staticmap', '/maps/api/streetview', '/about/careers/applications/jobs/results', '/about/careers/applications-a/jobs/results', '/groups', '/hosted/images/', '/m/']"
http://google.com,Open Redirect,Possible via url
